위반구분,위반일시,위반장소,과태료부과일자,데이터기준일자
주정차 금지구역,2024-11-01 16:40,명성푸르지오 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:44,오페라스위첸 철길,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:33,오페라코오롱하늘채 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:03,동대구시장,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:55,칠성시장교통섬,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 09:33,침산1동회전교차로1,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:06,팔달동 대구수산시장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:04,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 11:08,칠성시장 화재(소방),2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 12:39,대학로 파리바게트 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 08:01,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:12,오페라코오롱하늘채 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:24,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:09,거창식당 앞(칠성시장),2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:51,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:12,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:27,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:59,북부초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:54,매천중학교 건너,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:35,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:45,팔달초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:07,교동초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 09:41,침산동 매일천막 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:31,노원한신더휴 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:24,대구병원네거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:56,삼영초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:44,대구역 오페라더블유2,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:13,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:05,학정초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 16:01,칠곡우방타운 삼거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 09:48,태전중석타운 남편 도로,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:54,노원한신더휴 동문,2024-11-21,2025-01-01
주정차 금지구역,2024-11-01 14:33,노원한신더휴 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 14:39,매천화성파크드림정문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:01,노원한신더휴 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:45,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:16,칠곡우방타운 삼거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:02,침산동 매일천막 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:51,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:00,칠곡초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:08,매천중학교 건너,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 15:09,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:16,동평초등학교네거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:41,동천동 교보문고,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 08:38,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 08:06,서변초등학교 정문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:37,북구청역 푸르지오,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:47,NC아울렛 앞 사거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 14:35,북구청역 푸르지오,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 17:16,태전동 중앙시장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 14:48,거창식당 앞(칠성시장),2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:08,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:49,침산동 매일천막 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 09:22,북구청역 푸르지오,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 10:54,칠성시장 화재(소방),2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:34,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 15:24,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 16:14,칠곡우방타운 삼거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-01 07:05,태전중석타운 남편 도로,2024-11-04,2025-01-01
주정차 금지구역,2024-11-01 07:05,경진초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:08,웨딩메르디앙 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:29,침산초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:18,구암동 농협중앙회,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:06,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:47,태전동 중앙시장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:33,칠곡시외버스하차장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:05,북구청역 푸르지오,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:05,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:34,웨딩메르디앙 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:37,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:28,동천동 참약국,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:37,오페라 클래시아,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:47,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:04,대구보건대,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:20,새동산산부인과,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 11:52,웨딩메르디앙 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:04,동천동회전교차로1,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:07,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:45,산격동 경대북문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:34,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:19,칠곡초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:38,칠성초등학교 진입로,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:49,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:28,장보고식자재마트 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:53,옥산초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:04,무지개공영주차장 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:14,오페라 클래시아,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 12:27,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:17,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:35,새동산산부인과,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:42,코스트코 주차장 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:46,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:42,노원한신더휴 남문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:04,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:54,구암동 농협중앙회,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:08,관천초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:06,대학로23길,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:48,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:49,코스트코 주차장 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:16,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:41,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:46,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:30,한영정형외과,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:00,북부초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:46,관천초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:01,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:18,동천동회전교차로1,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:35,칠곡우방타운 삼거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:39,칠성시장 화재(소방),2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:26,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:35,산격동 경대북문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 11:04,대학로13길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:12,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:37,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:05,학정초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:04,새동산산부인과,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:53,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:05,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:36,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:20,매천화성파크드림정문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:31,관천초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:25,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:06,학정역 효성해링턴,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:24,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:49,칠성초등학교 진입로,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:42,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:51,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:46,새동산산부인과,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:28,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:14,오페라코오롱하늘채 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:40,대구병원네거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:07,사수동 센스마트,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:37,팔달초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:59,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:52,대학로 파리바게트 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:26,르노삼성자동차 침산점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:10,북부초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:07,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:05,오페라스위첸 철길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:44,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:00,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:33,동천동회전교차로2,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:20,새동산산부인과,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:36,오페라스위첸 철길,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:03,산격동 엑스코 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:32,북부초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:55,대학로 파리바게트 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:35,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:42,성삼우리신협 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:36,침산동 매일천막 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:25,칠곡시외버스하차장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:33,동아아울렛 뒷편,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:00,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:16,칠성초등학교 진입로,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:03,침산동 본죽,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:42,해오름축산물도매센터,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:46,영남네오빌아트 후문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:22,무지개공영주차장 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:05,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:38,칠곡농협 관음지점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:12,오페라 클래시아,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:48,르노삼성자동차 침산점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:37,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:01,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:37,경대북문 건너편,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:46,대구은행 학정로 지점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:16,오페라트루엘시민의숲,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:23,동아아울렛 뒷편,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:13,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:32,침산초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:26,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:02,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:09,침산 화인탑펠리스,2025-01-02,2025-01-01
주정차 금지구역,2024-11-02 13:26,대학로 파리바게트 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:37,동대구시장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:16,칠성시장교통섬,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:03,산격동 경대북문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:49,경대북문 건너편,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 12:29,무지개공영주차장 부근,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:50,코스트코 주차장 앞,2024-12-16,2025-01-01
주정차 금지구역,2024-11-02 10:24,한영정형외과,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:32,사수동 스타힐즈 육교밑,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:23,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:42,노원한신더휴 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:06,침산 화인탑펠리스,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:29,구암동 농협중앙회,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:51,구암동 농협중앙회,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:29,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:35,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:09,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:36,노원한신더휴 남문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:04,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:43,엑스코 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:07,노원한신더휴 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 12:58,웨딩메르디앙 앞,2024-11-04,2025-01-01
소화전앞,2024-11-02 15:08,사수동 센스마트,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:23,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:59,학정초등학교,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:41,노원한신더휴 동문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 13:01,대학로 파리바게트 부근,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:07,칠곡시외버스하차장,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:10,대구병원네거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:16,오페라 클래시아,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:52,거창식당 앞(칠성시장),2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:08,산격동 엑스코 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:38,오페라트루엘시민의숲,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:38,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:34,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:09,침산 화인탑펠리스,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:41,엑스코 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 14:34,산격동 엑스코 동문,2024-12-27,2025-01-01
주정차 금지구역,2024-11-02 10:23,오페라 클래시아,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:11,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:51,오페라트루엘시민의숲,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:42,동아아울렛 뒷편,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:39,코스트코 주차장 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:26,명성푸르지오 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:47,산격동 경대북문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:35,동천동회전교차로1,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:00,침산 화인탑펠리스,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:33,NC아울렛 앞 사거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 10:35,구암동 농협중앙회,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:28,칠성시장 화재(소방),2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:47,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:34,노원한신더휴 남문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:10,성삼우리신협 앞,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:54,금정공원(보행자우선거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:00,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:24,NC아울렛 앞 사거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:46,산격동 경대북문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:33,운암초등학교,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:51,노원한신더휴 동문,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:28,노원한신더휴 남문,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:10,르노삼성자동차 침산점,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 15:01,르노삼성자동차 침산점,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:46,침산동 본죽,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 15:13,코스트코 주차장 앞,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:20,칠곡우방타운 삼거리,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 14:40,칠곡우방타운 삼거리,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:46,힐스테이트대구역 2,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 16:01,해오름축산물도매센터,2024-11-04,2025-01-01
주정차 금지구역,2024-11-02 10:36,침산 화성파크드림,2025-01-13,2025-01-01
주정차 금지구역,2024-11-02 16:30,칠곡초등학교 진입로,2024-11-27,2025-01-01
주정차 금지구역,2024-11-02 10:47,삼영초등학교,2025-01-13,2025-01-01
